Date,ClosePrice
2016-07-25,1833.89
2016-07-26,1866.5
2016-07-27,1881.45
2016-07-28,1877.93
2016-07-31,1862.76
2016-08-01,1845.41
2016-08-02,1826.47
2016-08-03,1813.72
2016-08-04,1768.6
2016-08-07,1764.72
2016-08-08,1675.91
2016-08-09,1760.42
2016-08-10,1779.57
2016-08-11,1774.87
2016-08-14,1733.93
2016-08-15,1694.81
2016-08-16,1717.45
2016-08-17,1734.99
2016-08-21,1722.43
2016-08-22,1683.12
2016-08-23,1681.86
2016-08-24,1730.62
2016-08-28,1748.23
2016-08-29,1766.54
2016-08-30,1788.08
2016-08-31,1797.45
2016-09-01,1805.18
2016-09-04,1819.83
2016-09-05,1838.9
2016-09-06,1834.8
2016-09-07,1824.83
2016-09-08,1823.05
2016-09-11,1816.81
2016-09-12,1818.69
2016-09-14,1815.17
2016-09-18,1804.48
2016-09-20,1786.5
2016-09-21,1779.13
2016-09-22,1766.91
2016-09-25,1730.64
2016-09-26,1757.07
2016-09-27,1753.72
2016-09-28,1749.1
2016-09-29,1753.38
2016-10-02,1763.78
2016-10-03,1780.4
2016-10-04,1798.5
2016-10-05,1806.6
2016-10-06,1819.88
2016-10-16,1803.74
2016-10-17,1793.36
2016-10-18,1792.7
2016-10-19,1787.89
2016-10-20,1794.47
2016-10-23,1782.39
2016-10-24,1768.89
2016-10-25,1751
2016-10-26,1753.46
2016-10-27,1759.71
2016-11-03,1762.21
2016-11-07,1749.12
2016-11-08,1724.49
2016-11-09,1696.86
2016-11-10,1697.17
2016-11-13,1700
2016-11-14,1706.28
2016-11-15,1701.91
2016-11-16,1698.9
2016-11-17,1658.08
2016-11-20,1599.62
2016-11-21,1606.29
2016-11-22,1582.47
2016-11-23,1540.01
2016-11-24,1534.03
2016-11-27,1469.48
2016-11-28,1510.16
2016-11-29,1553.68
2016-11-30,1608.33
2016-12-01,1600.49
2016-12-04,1570.95
2016-12-05,1544.6
2016-12-06,1554.51
2016-12-07,1553.9
2016-12-08,1544.68
2016-12-11,1522.8
2016-12-12,1509.43
2016-12-14,1516.08
2016-12-15,1530.06
2016-12-18,1531.35
2016-12-19,1514.88
2016-12-20,1495.99
2016-12-21,1470.63
2016-12-22,1475.41
2016-12-26,1432.57
2016-12-27,1407.53
2016-12-28,1413.15
2016-12-29,1443.38
2017-01-01,1465.72
2017-01-02,1482.85
2017-01-03,1456.82
2017-01-04,1457.82
2017-01-05,1454.14
2017-01-08,1447.45
2017-01-09,1458.97
2017-01-10,1476.9
2017-01-11,1476.51
2017-01-12,1479.86
2017-01-15,1477.72
2017-01-16,1466.09
2017-01-17,1463.04
2017-01-18,1462.23
2017-01-19,1462.56
2017-01-22,1465.84
2017-01-23,1457.88
2017-01-24,1432.99
2017-01-25,1396.61
2017-01-26,1375.14
2017-01-30,1309.7
2017-01-31,1326.6
2017-02-01,1389.83
2017-02-02,1382.45
2017-02-05,1364.5
2017-02-06,1348.84
2017-02-07,1344.6
2017-02-08,1322.98
2017-02-09,1296.23
2017-02-12,1252.5
2017-02-13,1278.98
2017-02-14,1274.97
2017-02-15,1316.8
2017-02-16,1343.85
2017-02-19,1369.35
2017-02-20,1365.11
2017-02-21,1357.57
2017-02-22,1344.11
2017-02-23,1337.46
2017-02-26,1313.01
2017-02-28,1299.29
2017-03-01,1316.8
2017-03-02,1329.41
2017-03-05,1354.34
2017-03-06,1358.41
2017-03-07,1341.6
2017-03-09,1347.53
2017-03-13,1355.23
2017-03-14,1347.09
2017-03-15,1356.13
2017-03-16,1357.34
2017-03-19,1382.19
2017-03-20,1424.38
2017-03-21,1462.23
2017-03-22,1481.08
2017-03-23,1486.04
2017-03-26,1533.83
2017-03-28,1610.62
2017-03-29,1588.29
2017-03-30,1587.64
2017-04-02,1667.11
2017-04-03,1660.52
2017-04-04,1657.02
2017-04-06,1651.04
2017-04-09,1651.6
2017-04-10,1676.49
2017-04-11,1709.82
2017-04-12,1703.07
2017-04-13,1697.13
2017-04-16,1651.61
2017-04-18,1612.04
2017-04-19,1662.02
2017-04-20,1658.34
2017-04-23,1693.72
2017-04-24,1675.78
2017-04-25,1672.38
2017-04-26,1670.3
2017-04-27,1670.62
2017-04-30,1650.78
2017-05-02,1658.33
2017-05-03,1662.38
2017-05-04,1653.18
2017-05-07,1628.98
2017-05-08,1637.3
2017-05-09,1650.81
2017-05-11,1658.58
2017-05-15,1659.23
2017-05-16,1649.24
2017-05-17,1644.26
2017-05-18,1643.87
2017-05-21,1627.24
2017-05-22,1616.4
2017-06-01,1604.31
2017-06-04,1593.81
2017-06-05,1602.65
2017-06-06,1637.37
2017-06-07,1623.13
2017-06-08,1615.19
2017-06-11,1590.49
2017-06-12,1580.52
2017-06-13,1585.15
2017-06-14,1584.49
2017-06-15,1589.59
2017-06-18,1575.98
2017-06-19,1555.16
2017-06-20,1551.07
2017-06-21,1554.69
2017-06-22,1559.49
2017-06-25,1567.72
2017-06-27,1565.09
2017-06-28,1563.81
2017-07-02,1541.82
2017-07-03,1544.29
2017-07-04,1541.28
2017-07-05,1551.06
2017-07-06,1582.11
2017-07-09,1584.15
2017-07-10,1575.22
2017-07-10,1575.22
2017-07-11,1585.01
2017-07-12,1587.25
2017-07-13,1582.67
2017-07-16,1583.57
2017-07-17,1604.15
2017-07-18,1638.41
2017-07-19,1637.27
2017-07-20,1635.75
2017-07-23,1635.56
2017-07-24,1629.08
2017-07-25,1636.19
2017-07-26,1645.03
2017-07-27,1646.53
2017-07-30,1643.28
2017-07-31,1652.69
2017-08-01,1660.25
2017-08-02,1662.74
2017-08-06,1665.05
2017-08-07,1667.94
2017-08-09,1661.72
2017-08-10,1653.53
2017-08-13,1642.13
2017-08-15,1629.16
2017-08-16,1632.66
2017-08-17,1629.75
2017-08-20,1617.97
2017-08-21,1611.57
2017-08-22,1614.05
2017-08-23,1611.27
2017-08-24,1617.81
2017-08-27,1622.32
2017-08-28,1612.91
2017-08-30,1598.36
2017-08-31,1580.03
2017-09-04,1554.56
2017-09-06,1566.5
2017-09-07,1554.55
2017-09-10,1519.66
2017-09-11,1523.26
2017-09-12,1502.2
2017-09-13,1493.2
2017-09-14,1530.31
2017-09-17,1547.94
2017-09-18,1543.7
2017-09-20,1539.81
2017-09-24,1536.92
2017-09-25,1545.44
2017-09-26,1549.46
2017-10-03,1556.35
2017-10-04,1542.65
2017-10-08,1510.01
2017-10-09,1501.89
2017-10-10,1502.63
2017-10-11,1505.99
2017-10-12,1510.02
2017-10-15,1518.28
2017-10-16,1564.9
2017-10-17,1559.18
2017-10-18,1568.35
2017-10-22,1571.92
2017-10-23,1568.3
2017-10-24,1567.64
2017-10-25,1553.66
2017-10-29,1540.23
2017-10-30,1536.72
