Symbol,LTP,LTV,% Change
MPFL,236.0,100,-3.67
NMFBS,3230.0,100,-3.52
SMFBS,2512.0,10,-3.46
STC,10898.0,10,-2.7
MDB,380.0,30,-2.56
SDLBSL,1600.0,52,-2.44
NHPC,162.0,500,-2.41
EICPO,385.0,10,-2.28
PBLD84,1066.0,80,-1.93
SRBLD83,1060.0,50,-1.85
