Symbol,LTP,LTV,% Change
BFC,187.0,100,10.0
NICLBSL,1868.0,10,9.95
MLBSL,1208.0,10,9.92
JLI,565.0,10,9.92
GRDBL,204.0,20,9.68
CHL,295.0,20,9.67
KRBL,216.0,240,9.64
SAPDBL,206.0,100,9.57
SINDU,268.0,120,8.94
PROFL,193.0,1000,8.43
