Date,Close Price
2010-04-19,1400.0
2010-04-20,1380.0
2010-04-21,1242.0
2010-04-22,1295.0
2010-04-25,1220.0
2010-04-26,1190.0
2010-04-27,1100.0
2010-04-28,1100.0
2010-04-29,1210.0
2010-04-15,1410.0
2010-05-09,1159.0
2010-05-10,1232.0
2010-05-11,1304.0
2010-05-12,1355.0
2010-05-13,1342.0
2010-05-16,1404.0
2010-05-17,1349.0
2010-05-18,1402.0
2010-05-19,1457.0
2010-05-20,1470.0
2010-05-23,1445.0
2010-05-24,1442.0
2010-05-25,1523.0
2010-05-26,1505.0
2010-05-30,1630.0
2010-05-31,1566.0
2010-06-01,1590.0
2010-06-02,1548.0
2010-06-03,1560.0
2010-06-06,1591.0
2010-06-07,1615.0
2010-06-09,1600.0
2010-06-10,1595.0
2010-06-13,1588.0
2010-06-15,1530.0
2010-06-16,1514.0
2010-06-17,1515.0
2010-06-20,1520.0
2010-06-21,1490.0
2010-06-22,1446.0
2010-06-23,1475.0
2010-06-24,1480.0
2010-06-28,1525.0
2010-06-29,1495.0
2010-06-30,1530.0
2010-07-01,1600.0
2010-07-04,1499.0
2010-07-05,1498.0
2010-07-06,1600.0
2010-07-08,1500.0
2010-07-11,1497.0
2010-07-12,1528.0
2010-07-13,1557.0
2010-07-14,1609.0
2010-07-15,1630.0
2010-07-18,1491.0
2010-07-19,1504.0
2010-07-20,1489.0
2010-07-21,1560.0
2010-07-22,1480.0
2010-07-25,1490.0
2010-07-26,1545.0
2010-07-28,1510.0
2010-07-29,1535.0
2010-08-01,1510.0
2010-08-02,1575.0
2010-08-05,1500.0
2010-08-08,1560.0
2010-08-09,1518.0
2010-08-10,1530.0
2010-08-11,1540.0
2010-08-12,1570.0
2010-08-15,1535.0
2010-08-16,1558.0
2010-08-17,1500.0
2010-08-18,1504.0
2010-08-19,1467.0
2010-08-22,1460.0
2010-08-23,1440.0
2010-08-26,1450.0
2010-08-29,1447.0
2010-08-30,1465.0
2010-08-31,1434.0
2010-09-02,1425.0
2010-09-06,1138.0
2010-09-07,1130.0
2010-09-08,1108.0
2010-09-09,1125.0
2010-09-12,1115.0
2010-09-13,1115.0
2010-09-14,1114.0
2010-09-21,1093.0
2010-09-23,1083.0
2010-09-26,1095.0
2010-09-27,1074.0
2010-09-28,1081.0
2010-09-29,1115.0
2010-09-30,1094.0
2010-10-03,1100.0
2010-10-05,1075.0
2010-10-06,1065.0
2010-10-07,1122.0
2010-10-10,1140.0
2010-10-12,1075.0
2010-10-13,1075.0
2010-10-20,1060.0
2010-10-21,1060.0
2010-10-24,1101.0
2010-10-25,1100.0
2010-10-26,1118.0
2010-10-27,1086.0
2010-10-28,1105.0
2010-10-31,1105.0
2010-11-02,1099.0
2010-11-03,1101.0
2010-11-04,1110.0
2010-11-09,1109.0
2010-11-10,1090.0
2010-11-11,1108.0
2010-11-14,1122.0
2010-11-15,1180.0
2010-11-16,1159.0
2010-11-18,1170.0
2010-11-22,1125.0
2010-11-23,1120.0
2010-11-24,1123.0
2010-11-25,1101.0
2010-11-28,1100.0
2010-11-29,1100.0
2010-11-30,1086.0
2010-12-01,1078.0
2010-12-02,1120.0
2010-12-05,1100.0
2010-12-06,1088.0
2010-12-07,1032.0
2010-12-08,1084.0
2010-12-09,1062.0
2010-12-12,1005.0
2010-12-13,1000.0
2010-12-14,1010.0
2010-12-15,1000.0
2010-12-16,1000.0
2010-12-19,981.0
2010-12-20,980.0
2010-12-22,1057.0
2010-12-23,1050.0
2010-12-26,1071.0
2010-12-27,1090.0
2010-12-28,1050.0
2010-12-29,1019.0
2011-01-02,1008.0
2011-01-03,1010.0
2011-01-04,1070.0
2011-01-05,1035.0
2011-01-06,1000.0
2011-01-09,1030.0
2011-01-10,1018.0
2011-01-11,1040.0
2011-01-12,1079.0
2011-01-13,1100.0
2011-01-16,1099.0
2011-01-17,1099.0
2011-01-18,1095.0
2011-01-20,1095.0
2011-01-23,1053.0
2011-01-24,1133.0
2011-02-02,1084.0
2011-02-03,1021.0
2011-02-06,1055.0
2011-02-07,1070.0
2011-02-08,1026.0
2011-02-09,1075.0
2011-02-10,1070.0
2011-02-13,1069.0
2011-02-14,1090.0
2011-02-15,1070.0
2011-02-16,1050.0
2011-02-17,1111.0
2011-02-20,1115.0
2011-02-22,1093.0
2011-02-28,1030.0
2011-03-01,1000.0
2011-03-03,1020.0
2011-03-07,1038.0
2011-03-09,1014.0
2011-03-10,1052.0
2011-03-14,1049.0
2011-03-15,950.0
2011-03-16,1004.0
2011-03-17,1001.0
2011-03-20,984.0
2011-03-21,1022.0
2011-03-22,1020.0
2011-03-23,1039.0
2011-03-24,1059.0
2011-03-28,998.0
2011-03-29,959.0
2011-03-30,989.0
2011-03-31,1012.0
2011-04-04,1000.0
2011-04-05,998.0
2011-04-06,1019.0
2011-04-07,1039.0
2011-04-10,1097.0
2011-04-11,1068.0
2011-04-13,1121.0
2011-04-17,1010.0
2011-04-18,1020.0
2011-04-19,1000.0
2011-04-20,932.0
2011-04-21,975.0
2011-04-25,956.0
2011-04-26,994.0
2011-04-28,1050.0
2011-05-03,1029.0
2011-05-04,950.0
2011-05-05,940.0
2011-05-08,958.0
2011-05-09,976.0
2011-05-10,1000.0
2011-05-11,990.0
2011-05-12,971.0
2011-05-15,991.0
2011-05-16,999.0
2011-05-18,984.0
2011-05-19,956.0
2011-05-22,998.0
2011-05-23,960.0
2011-05-24,944.0
2011-05-25,992.0
2011-05-26,973.0
2011-05-30,990.0
2011-05-31,1000.0
2011-06-01,980.0
2011-06-02,1075.0
2011-06-05,973.0
2011-06-06,895.0
2011-06-07,899.0
2011-06-08,901.0
2011-06-09,905.0
2011-06-12,920.0
2011-06-14,920.0
2011-06-15,828.0
2011-06-16,876.0
2011-06-19,925.0
2011-06-20,1017.0
2011-06-21,1072.0
2011-06-23,1166.0
2011-06-26,1078.0
2011-06-27,977.0
2011-06-29,1053.0
2011-06-30,1057.0
2011-07-03,1074.0
2011-07-04,967.0
2011-07-05,980.0
2011-07-06,988.0
2011-07-07,970.0
2011-07-10,1006.0
2011-07-11,980.0
2011-07-12,1004.0
2011-07-13,1080.0
2011-07-14,1094.0
2011-07-17,1195.0
2011-07-18,1076.0
2011-07-19,1055.0
2011-07-20,1055.0
2011-07-21,1055.0
2011-07-24,1022.0
2011-07-25,1000.0
2011-07-26,1000.0
2011-07-27,1054.0
2011-07-28,1040.0
2011-07-31,1012.0
2011-08-01,1012.0
2011-08-02,1011.0
2011-08-03,1010.0
2011-08-04,1025.0
2011-08-07,1004.0
2011-08-08,970.0
2011-08-09,972.0
2011-08-10,998.0
2011-08-11,995.0
2011-08-15,991.0
2011-08-16,994.0
2011-08-17,975.0
2011-08-18,1011.0
2011-08-22,972.0
2011-08-23,970.0
2011-08-24,963.0
2011-08-25,950.0
2011-08-28,931.0
2011-08-29,946.0
2011-08-30,983.0
2011-09-01,948.0
2011-09-04,964.0
2011-09-05,940.0
2011-09-06,922.0
2011-09-07,939.0
2011-09-08,920.0
2011-09-12,960.0
2011-09-13,940.0
2011-09-14,915.0
2011-09-15,980.0
2011-09-20,888.0
2011-09-21,865.0
2011-09-22,865.0
2011-09-25,879.0
2011-09-26,894.0
2011-09-27,897.0
2011-09-29,878.0
2011-10-02,870.0
2011-10-09,867.0
2011-10-10,882.0
2011-10-12,915.0
2011-10-13,930.0
2011-10-16,945.0
2011-10-18,909.0
2011-10-19,867.0
2011-10-20,811.0
2011-10-23,800.0
2011-10-24,836.0
2011-10-25,820.0
2011-10-30,800.0
2011-10-31,848.0
2011-11-02,932.0
2011-11-03,900.0
2011-11-06,847.0
2011-11-08,831.0
2011-11-09,840.0
2011-11-10,840.0
2010-04-15,1410.0
2010-04-15,1410.0
2011-11-13,824.0
2011-11-14,824.0
2011-11-15,800.0
2011-11-16,780.0
2011-11-17,799.0
2011-11-20,790.0
2011-11-21,795.0
2011-11-22,780.0
2011-11-23,809.0
2011-11-24,824.0
2011-11-27,808.0
2011-11-28,770.0
2011-11-29,775.0
2011-11-30,775.0
2011-12-01,750.0
2011-12-04,757.0
2011-12-05,755.0
2011-12-06,740.0
2011-12-07,740.0
2011-12-08,750.0
2011-12-11,750.0
2011-12-12,706.0
2011-12-13,765.0
2011-12-18,721.0
2011-12-19,714.0
2011-12-20,700.0
2011-12-21,701.0
2011-12-22,709.0
2011-12-26,699.0
2011-12-27,709.0
2011-12-28,703.0
2011-12-29,696.0
2012-01-01,685.0
2012-01-02,714.0
2012-01-03,700.0
2012-01-04,681.0
2012-01-05,702.0
2012-01-08,700.0
2012-01-09,670.0
2012-01-10,690.0
2012-01-11,714.0
2012-01-12,728.0
2012-01-16,693.0
2012-01-17,697.0
2012-01-18,693.0
2012-01-19,687.0
2012-01-22,685.0
2012-01-23,670.0
2012-01-25,682.0
2012-01-26,690.0
2012-01-29,680.0
2012-01-31,675.0
2012-02-01,687.0
2012-02-02,680.0
2012-02-05,672.0
2012-02-06,672.0
2012-02-07,683.0
2012-02-08,696.0
2012-02-09,696.0
2012-02-12,683.0
2012-02-13,671.0
2012-02-14,667.0
2012-02-15,679.0
2012-02-16,670.0
2012-02-21,680.0
2012-02-23,694.0
2012-02-26,680.0
2012-02-27,688.0
2012-02-28,698.0
2012-02-29,676.0
2012-03-01,690.0
2012-03-04,683.0
2012-03-05,686.0
2012-03-06,690.0
2012-03-11,683.0
2012-03-12,683.0
2012-03-13,670.0
2012-03-14,692.0
2012-03-15,683.0
2012-03-19,665.0
2012-03-20,695.0
2012-03-21,700.0
2012-03-25,683.0
2012-03-26,678.0
2012-03-27,678.0
2012-03-28,678.0
2012-03-29,670.0
2012-04-01,705.0
2012-04-02,680.0
2012-04-03,688.0
2012-04-04,689.0
2012-04-05,678.0
2012-04-08,685.0
2012-04-09,694.0
2012-04-10,700.0
2012-04-11,715.0
2012-04-12,751.0
2012-04-15,804.0
2012-04-16,883.0
2012-04-17,796.0
2012-04-18,830.0
2012-04-19,881.0
2012-04-22,899.0
2012-04-24,988.0
2012-04-25,1086.0
2012-04-26,1110.0
2012-04-29,1078.0
2012-04-30,1003.0
2012-05-02,909.0
2012-05-03,999.0
2012-05-07,1058.0
2012-05-08,1118.0
2012-05-09,1060.0
2012-05-10,1033.0
2012-05-13,980.0
2012-05-14,905.0
2012-05-15,995.0
2012-05-17,1070.0
2012-05-20,1060.0
2012-05-21,1084.0
2012-05-22,1035.0
2012-05-23,960.0
2012-05-24,1015.0
2012-05-27,1069.0
2012-05-29,1048.0
2012-05-30,944.0
2012-05-31,917.0
2012-06-03,1000.0
2012-06-04,991.0
2012-06-05,958.0
2012-06-06,953.0
2012-06-07,957.0
2012-06-10,908.0
2012-06-11,929.0
2012-06-12,955.0
2012-06-13,948.0
2012-06-14,947.0
2012-06-17,927.0
2012-06-18,922.0
